PGC_name         T_PGC  T_PGC_err     type           D25         R25          PA     B_T_mag   e_B_T_mag       B_V_T     e_B_V_T          cz           z
PGC0027331          10         1.3     .IXS9*.        0.96        0.11          75      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027358           4         0.9     .S..4..         1.2        0.81         120      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027361          10         1.8     .I..9?.        1.06        0.38         103      -99.99      -99.99      -99.99      -99.99        4356     0.01453
PGC0027362           2           1     .S..2..        1.06        0.68          43      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027416           7         0.9     .SX.7*.        1.14        0.48         147      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027423          -5         0.9     .E.....        1.32        0.46       -9999        14.6         0.2        0.94        0.04        6839     0.02281
PGC0027472          -2         0.9     .L.....        1.07        0.56         149      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027477           3           1     .S..3..        1.04        0.76         170      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027504           7         1.2     .SA.7*.        0.96      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027518           4         0.8     .SB.4..        1.14         0.2           7      -99.99      -99.99      -99.99      -99.99        4959     0.01654
PGC0027527           5         0.4     .SAS5*.        1.35         0.1         165       13.15        0.14        0.57        0.03        4585     0.01529
PGC0027533           5         0.5     .SBS5P$        1.04        0.43       -9999      -99.99      -99.99      -99.99      -99.99        6601     0.02202
PGC0027546           5         0.5     .SBR5*P        0.89        0.24       -9999      -99.99      -99.99      -99.99      -99.99        6836      0.0228
PGC0027547          -2         0.6     .LX.0*P        0.72      -99.99       -9999        16.1         0.3        0.93        0.08        6394     0.02133
PGC0027549           6         1.5     .S..6*.        1.05        0.98         147      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027558           6         1.4     .S..6*.        1.06        0.78          54      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027619           1         1.6     .S..1?.        1.25        0.16          40      -99.99      -99.99      -99.99      -99.99        4722     0.01575
PGC0027620           4         0.9     .S.R4..        1.02        0.12          10      -99.99      -99.99      -99.99      -99.99        6639     0.02215
PGC0027630           8         1.4     .S..8*.        1.06         0.8          22      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027635          -1         0.3     RLXT+..        1.42        0.13           3       12.96        0.13        1.03        0.01        1991    0.006641
PGC0027662           4         0.9     .S..4..        0.97        0.02       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027665          -2         0.9     .L.....        1.01        0.25         175      -99.99      -99.99      -99.99      -99.99        5809     0.01938
PGC0027681           3         0.9     .S..3..        1.36        0.92         131      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027709           9         0.8     .SAS9..        1.19      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027716          -2         0.9     .L.....        1.11         0.4          18      -99.99      -99.99      -99.99      -99.99        6731     0.02245
PGC0027723           5         0.3     .SAS5..        1.48        0.04          65        12.3        0.14        0.67        0.02        2212    0.007378
PGC0027753          -2         0.8     .L.....        1.09        0.12         135      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027765          -2         0.3     RLBR0..        1.43        0.18         145       11.84        0.13         0.9        0.02        1337     0.00446
PGC0027777           4         0.3     .SXR4*.        1.46        0.26          97       11.99        0.13        0.68        0.01        1311    0.004373
PGC0027780           5         0.9     .S..5..        1.22        0.45         168      -99.99      -99.99      -99.99      -99.99        8540     0.02849
PGC0027784          10         1.5     .I..9?.        1.24        0.28       -9999      -99.99      -99.99      -99.99      -99.99        3180     0.01061
PGC0027785          10         0.9     .I..9..        1.11        0.66          43      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027789           3         0.9     .SB.3..        0.97        0.22          70      -99.99      -99.99      -99.99      -99.99        6584     0.02196
PGC0027800          90      -99.99     .I.0...        1.36        0.16          45       12.78        0.13        1.05        0.02        1580     0.00527
PGC0027803           4           1     .S..4..           1        0.69          68      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027813          -2         0.8     .L.....        1.08        0.12          85      -99.99      -99.99      -99.99      -99.99        6733     0.02246
PGC0027826           6         1.4     .S..6*.           1        0.84          49      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027827          -5         0.9     .E.1.*.        0.81        0.11       -9999       14.38        0.14        0.76        0.03        1664    0.005551
PGC0027830          -5         1.2     .E...*.        1.17      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027843           3         0.9     .SBR3..        1.06        0.18         135      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027859           2         0.9     .S..2..         1.1         0.4          65      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027860           1         0.9     .SB.1..        1.04        0.17         150      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027875         9.3           1     .SB.9P?        1.02         0.2         152      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027893           5         0.8     .SXS5..        1.17        0.19          45      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027925           4         0.9     .SXT4*.        1.08        0.06          95      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027935          10         0.9     .I..9..        0.96      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027939         1.5         0.6     PSXT2P*        1.13        0.01       -9999      -99.99      -99.99      -99.99      -99.99        4524     0.01509
PGC0027944           2         0.9     .SB.2..           1        0.25          55      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027946           4         0.8     .S..4..        1.21        0.28          23      -99.99      -99.99      -99.99      -99.99        5533     0.01846
PGC0027958           3         1.4     .S..3*.        1.06         0.6          44      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027968           7         0.8     .SX.7..        1.24        0.28         125      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0027981           2         0.9     .S..2..        1.18        0.34         160      -99.99      -99.99      -99.99      -99.99        3738     0.01247
